import time: self [us] | cumulative | imported package
import time:       561 |      67347 |                             chromadb.utils.embedding_functions.schemas
import time:       783 |      68129 |                           chromadb.utils.embedding_functions.cohere_embedding_function
import time:       664 |        664 |                           chromadb.utils.embedding_functions.openai_embedding_function
import time:       550 |        550 |                           chromadb.utils.embedding_functions.huggingface_embedding_function
import time:       439 |        439 |                           chromadb.utils.embedding_functions.sentence_transformer_embedding_function
import time:       605 |        605 |                           chromadb.utils.embedding_functions.google_embedding_function
import time:       482 |        482 |                           chromadb.utils.embedding_functions.ollama_embedding_function
import time:       451 |        451 |                           chromadb.utils.embedding_functions.instructor_embedding_function
import time:       675 |        675 |                           chromadb.utils.embedding_functions.jina_embedding_function
import time:       466 |        466 |                           chromadb.utils.embedding_functions.voyageai_embedding_function
import time:      2285 |       2285 |                               _hashlib
import time:        53 |         53 |                               _blake2
import time:       771 |       3108 |                             hashlib
import time:       755 |        755 |                               pwd
import time:       700 |        700 |                               grp
import time:      1549 |       3002 |                             tarfile
import time:       843 |        843 |                               httpx.__version__
import time:      1070 |       1070 |                                         http
import time:       782 |        782 |                                             email.errors
import time:       490 |        490 |                                                 email.quoprimime
import time:       366 |        366 |                                                 email.base64mime
import time:       546 |        546 |                                                     quopri
import time:       395 |        940 |                                                   email.encoders
import time:       446 |       1386 |                                                 email.charset
import time:       960 |       3199 |                                               email.header
import time:       580 |        580 |                                                 email._parseaddr
import time:       675 |       1254 |                                               email.utils
import time:       545 |       4998 |                                             email._policybase
import time:       905 |       6683 |                                           email.feedparser
import time:       881 |       7564 |                                         email.parser
import time:       517 |        517 |                                           email._encoded_words
import time:       407 |        407 |                                           email.iterators
import time:       829 |       1751 |                                         email.message
import time:      1987 |       1987 |                                           _ssl
import time:      2209 |       4196 |                                         ssl
import time:      1149 |      15729 |                                       http.client
import time:       456 |        456 |                                         urllib.response
import time:       596 |       1052 |                                       urllib.error
import time:       580 |        580 |                                       nturl2path
import time:      1417 |      18776 |                                     urllib.request
import time:       778 |        778 |                                     httpx._exceptions
import time:        85 |         85 |                                             _locale
import time:      1310 |       1395 |                                           locale
import time:      1190 |       2585 |                                         calendar
import time:      2270 |       4854 |                                       http.cookiejar
import time:       632 |        632 |                                           mimetypes
import time:       999 |        999 |                                           httpx._types
import time:       637 |        637 |                                           httpx._utils
import time:       628 |       2895 |                                         httpx._multipart
import time:       547 |       3442 |                                       httpx._content
import time:       793 |        793 |                                         brotli
import time:       679 |        679 |                                         brotlicffi
import time:       692 |        692 |                                         zstandard
import time:       619 |       2782 |                                       httpx._decoders
import time:      1096 |       1096 |                                       httpx._status_codes
import time:      3577 |       3577 |                                         httpx._urlparse
import time:       652 |       4229 |                                       httpx._urls
import time:      1106 |      17507 |                                     httpx._models
import time:       752 |      37811 |                                   httpx._auth
import time:       611 |        611 |                                   httpx._config
import time:       420 |        420 |                                         httpx._transports.base
import time:       736 |       1156 |                                       httpx._transports.asgi
import time:       650 |        650 |                                       httpx._transports.default
import time:       638 |        638 |                                       httpx._transports.mock
import time:       516 |        516 |                                       httpx._transports.wsgi
import time:       619 |       3578 |                                     httpx._transports
import time:        27 |       3605 |                                   httpx._transports.base
import time:       901 |      42926 |                                 httpx._client
import time:       480 |      43405 |                               httpx._api
import time:      1001 |       1001 |                                           ctypes.wintypes
import time:        65 |         65 |                                           msvcrt
import time:       761 |       1826 |                                         click._winconsole
import time:       777 |       2603 |                                       click._compat
import time:       427 |        427 |                                         click.globals
import time:       534 |        534 |                                         click.utils
import time:       744 |       1704 |                                       click.exceptions
import time:      1018 |       5324 |                                     click.types
import time:       585 |        585 |                                     click._utils
import time:       693 |        693 |                                       click.parser
import time:       577 |       1270 |                                     click.formatting
import time:       542 |        542 |                                     click.termui
import time:      1457 |       9176 |                                   click.core
import time:       780 |        780 |                                   click.decorators
import time:      1115 |      11070 |                                 click
import time:      1059 |       1059 |                                   pygments
import time:      1600 |       1600 |                                   pygments.lexers._mapping
import time:       560 |        560 |                                   pygments.modeline
import time:       421 |        421 |                                   pygments.plugin
import time:       847 |        847 |                                   pygments.util
import time:       893 |       5377 |                                 pygments.lexers
import time:      1020 |       1020 |                                     rich._extension
import time:      1424 |       2443 |                                   rich
import time:       762 |        762 |                                     termios
import time:       625 |       1386 |                                   getpass
import time:      1403 |       1403 |                                     html.entities
import time:       855 |       2258 |                                   html
import time:       785 |        785 |                                   rich._null_file
import time:       610 |        610 |                                   rich.errors
import time:       602 |        602 |                                           colorsys
import time:       513 |        513 |                                               rich.color_triplet
import time:       445 |        958 |                                             rich.palette
import time:       414 |       1372 |                                           rich._palettes
import time:       755 |        755 |                                           rich.repr
import time:       550 |        550 |                                           rich.terminal_theme
import time:      1473 |       4750 |                                         rich.color
import time:       871 |       5621 |                                       rich.style
import time:       696 |       6317 |                                     rich.default_styles
import time:      1518 |       1518 |                                       configparser
import time:       566 |       2083 |                                     rich.theme
import time:       539 |       8939 |                                   rich.themes
import time:      1975 |       1975 |                                     rich._emoji_codes
import time:       613 |       2587 |                                   rich._emoji_replace
import time:       494 |        494 |                                   rich._export_format
import time:       412 |        412 |                                   rich._fileno
import time:       500 |        500 |                                       rich._loop
import time:       350 |        350 |                                       rich._pick
import time:       450 |        450 |                                           rich._cell_widths
import time:       927 |       1376 |                                         rich.cells
import time:       599 |       1975 |                                       rich._wrap
import time:      1334 |       1334 |                                             rich.segment
import time:       554 |       1887 |                                           rich.jupyter
import time:       398 |        398 |                                             rich.protocol
import time:       595 |        992 |                                           rich.measure
import time:       557 |       3435 |                                         rich.constrain
import time:       562 |       3997 |                                       rich.align
import time:       620 |        620 |                                       rich.containers
import time:       557 |        557 |                                       rich.control
import time:       467 |        467 |                                       rich.emoji
import time:      1192 |       9654 |                                     rich.text
import time:       541 |      10195 |                                   rich._log_render
import time:       560 |        560 |                                   rich.highlighter
import time:      1179 |       1179 |                                   rich.markup
